Year,Winner
2024,FC Internazionale Milano
2023,SSC Napoli
2022,AC Milan
2021,FC Internazionale Milano
2020,Juventus FC
2019,Juventus FC
2018,Juventus FC
2017,Juventus FC
2016,Juventus FC
2015,Juventus FC
2014,Juventus FC
2013,Juventus FC
2012,Juventus FC
2011,AC Milan
2010,FC Internazionale Milano
2009,FC Internazionale Milano
2008,FC Internazionale Milano
2007,FC Internazionale Milano
2006,FC Internazionale Milano
2004,AC Milan
2003,Juventus FC
2002,Juventus FC
2001,AS Roma
2000,SS Lazio
1999,AC Milan
1998,Juventus FC
1997,Juventus FC
1996,AC Milan
1995,Juventus FC
1994,AC Milan
1993,AC Milan
1992,AC Milan
1991,Sampdoria
1990,SSC Napoli
1989,FC Internazionale Milano
1988,AC Milan
1987,SSC Napoli
1986,Juventus FC
1985,Hellas Verona FC
1984,Juventus FC
1983,AS Roma
1982,Juventus FC
1981,Juventus FC
1980,FC Internazionale Milano
1979,AC Milan
1978,Juventus FC
1977,Juventus FC
1976,Torino FC
1975,Juventus FC
1974,SS Lazio
1973,Juventus FC
1972,Juventus FC
1971,FC Internazionale Milano
1970,Cagliari Calcio
1969,ACF Fiorentina
1968,AC Milan
1967,Juventus FC
1966,FC Internazionale Milano
1965,FC Internazionale Milano
1964,Bologna FC 1909
1963,FC Internazionale Milano
1962,AC Milan
1961,Juventus FC
1960,Juventus FC
1959,AC Milan
1958,Juventus FC
1957,AC Milan
1956,ACF Fiorentina
1955,AC Milan
1954,FC Internazionale Milano
1953,FC Internazionale Milano
1952,Juventus FC
1951,AC Milan
1950,Juventus FC
1949,Torino FC
1948,Torino FC
1947,Torino FC
1946,Torino FC
1944,Spezia Calcio 1906
1943,Torino FC
1942,AS Roma
1941,Bologna FC 1909
1940,FC Internazionale Milano
1939,Bologna FC 1909
1938,FC Internazionale Milano
1937,Bologna FC 1909
1936,Bologna FC 1909
1935,Juventus FC
1934,Juventus FC
1933,Juventus FC
1932,Juventus FC
1931,Juventus FC
1930,FC Internazionale Milano
1929,Bologna FC 1909
1928,Torino FC
1926,Juventus FC
1925,Bologna FC 1909
1924,Genoa CFC
1923,Genoa CFC
1922,US Novese
1922,Pro Vercelli
1921,Pro Vercelli
1920,FC Internazionale Milano
1915,Genoa CFC
1914,Casale
1913,Pro Vercelli
1912,Pro Vercelli
1911,Pro Vercelli
1910,FC Internazionale Milano
1909,Pro Vercelli
1908,Pro Vercelli
1907,AC Milan
1906,AC Milan
1905,Juventus FC
1904,Genoa CFC
1903,Genoa CFC
1902,Genoa CFC
1901,AC Milan
1900,Genoa CFC
1899,Genoa CFC
1898,Genoa CFC
